Date,DayOfWeek,Package,PricePerNight,Taxes&Fees,StayTotal,ChangeVector
01-03-2024,Wednesday,Flexible Rate,$138,$41.45,$317.81,⬆︎ (10)
01-03-2024,Wednesday,ENCLAVE GARDEN VIEW - 2 QUEEN BEDS,$936,n/a,$6556,🟰
01-03-2024,Wednesday,Flexible Rate,$138,$41.45,$317.81,🟰
01-04-2024,Thursday,ENCLAVE GARDEN VIEW - 2 QUEEN BEDS,$936,n/a,$6556,🟰
01-04-2024,Thursday,Flexible Rate,$138,$41.45,$317.81,🟰
01-4-2024,Thursday,ENCLAVE GARDEN VIEW - 2 QUEEN BEDS,$936,n/a,$6556,⬆︎ (5620)
01-4-2024,Thursday,Flexible Rate,$136,$40.90,$313.54,⬇︎ (-4)
01-4-2024,Thursday,ENCLAVE GARDEN VIEW - 2 QUEEN BEDS,$936,n/a,$6556,🟰
01-4-2024,Thursday,Flexible Rate,$136,$40.90,$313.54,🟰
01-5-2024,Friday,ENCLAVE GARDEN VIEW - 2 QUEEN BEDS,$936,n/a,$6556,🟰
01-5-2024,Friday,Flexible Rate,$136,$40.90,$313.54,🟰
01-5-2024,Friday,Flexible Rate,$125,$37.54,$287.83,⬇︎ (-26)
01-5-2024,Friday,Flexible Rate,$125,$37.54,$287.83,🟰
